good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-5.1,gpt-4o-mini,19,292.1666666666667,17.36111111111111,144
gpt-5.1,gpt-4o-mini,20,309.55555555555554,17.38888888888889,144
gpt-5.1,gpt-4o-mini,21,326.9166666666667,17.36111111111111,144
gpt-5.1,gpt-4o-mini,22,341.27777777777777,14.36111111111111,144
gpt-5.1,gpt-4o-mini,23,355.55555555555554,14.277777777777779,144
gpt-5.1,gpt-4o-mini,24,369.77777777777777,14.222222222222221,144
gpt-5.1,gpt-4o-mini,25,385.22222222222223,15.444444444444445,144
gpt-5.1,gpt-4o-mini,26,401.0833333333333,15.86111111111111,144
gpt-5.1,gpt-4o-mini,27,417.3333333333333,16.25,144
gpt-5.1,gpt-4o-mini,28,434.30555555555554,16.97222222222222,144
gpt-5.1,gpt-4o-mini,29,451.19444444444446,16.88888888888889,144
gpt-5.1,gpt-4o-mini,30,467.4166666666667,16.22222222222222,144
gpt-5.1,gpt-5.1,1,8.601036269430052,8.601036269430052,193
gpt-5.1,gpt-5.1,2,20.186528497409327,11.585492227979275,193
gpt-5.1,gpt-5.1,3,33.523316062176164,13.336787564766839,193
gpt-5.1,gpt-5.1,4,48.704663212435236,15.181347150259068,193
gpt-5.1,gpt-5.1,5,60.082901554404145,11.378238341968911,193
gpt-5.1,gpt-5.1,6,73.09844559585493,13.015544041450777,193
gpt-5.1,gpt-5.1,7,84.03108808290155,10.932642487046632,193
gpt-5.1,gpt-5.1,8,96.10362694300518,12.072538860103627,193
gpt-5.1,gpt-5.1,9,106.46632124352331,10.362694300518134,193
gpt-5.1,gpt-5.1,10,117.00518134715026,10.538860103626943,193
gpt-5.1,gpt-5.1,11,128.78756476683938,11.782383419689118,193
gpt-5.1,gpt-5.1,12,139.6476683937824,10.860103626943005,193
gpt-5.1,gpt-5.1,13,150.81865284974094,11.17098445595855,193
gpt-5.1,gpt-5.1,14,160.99481865284974,10.176165803108809,193
gpt-5.1,gpt-5.1,15,172.1761658031088,11.181347150259068,193
gpt-5.1,gpt-5.1,16,182.6321243523316,10.455958549222798,193
gpt-5.1,gpt-5.1,17,193.33678756476684,10.704663212435234,193
gpt-5.1,gpt-5.1,18,204.30051813471502,10.963730569948186,193
gpt-5.1,gpt-5.1,19,214.81865284974094,10.518134715025907,193
